price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,comes_furnished,laundry_options,parking_options
1799,apartment,985,2,2.0,1,1,0,0,0,w/d in unit,off-street parking
539,apartment,717,1,1.0,1,1,0,0,0,w/d hookups,
1040,apartment,998,2,1.5,1,1,1,0,0,,
1205,apartment,1479,3,2.0,1,1,1,0,0,,
1099,apartment,934,2,2.0,1,1,1,0,0,w/d hookups,
995,apartment,550,1,1.0,1,1,0,0,0,laundry in bldg,carport
565,townhouse,1100,3,3.0,1,1,1,0,0,w/d in unit,off-street parking
2417,apartment,1357,2,2.0,0,0,1,0,0,,
625,apartment,662,1,1.0,1,1,1,0,0,,
1800,townhouse,1200,4,2.0,0,0,1,0,0,laundry on site,off-street parking
1311,apartment,1180,2,2.0,1,1,1,0,0,w/d in unit,attached garage
775,apartment,960,2,1.5,1,1,1,0,0,,
1009,apartment,1172,2,2.0,1,1,1,0,0,laundry on site,off-street parking
2200,duplex,1010,1,1.0,1,1,0,1,1,w/d in unit,off-street parking
1048,apartment,735,1,1.0,1,1,1,0,0,w/d in unit,
833,apartment,800,3,2.0,0,0,1,0,0,,
1200,house,2000,3,2.0,0,0,0,0,0,w/d hookups,attached garage
1035,apartment,1250,2,2.0,0,0,1,0,0,,
900,apartment,500,1,1.0,1,1,0,0,0,,off-street parking
1250,house,1800,3,1.5,0,0,0,0,0,w/d in unit,detached garage
975,apartment,1300,3,0.0,1,1,1,0,0,w/d hookups,
900,manufactured,1152,3,2.0,1,1,1,0,0,w/d hookups,off-street parking
1425,apartment,988,2,2.0,1,1,1,0,0,,
1066,apartment,1250,3,2.0,1,1,1,0,0,w/d hookups,off-street parking
2595,apartment,1023,2,2.5,1,0,1,0,0,w/d in unit,detached garage
895,duplex,1025,2,2.0,0,0,1,0,0,w/d in unit,carport
1310,apartment,564,1,1.0,1,1,1,0,0,laundry on site,
1575,townhouse,1367,3,2.5,1,1,0,0,0,w/d hookups,attached garage
1213,house,1262,5,1.5,1,1,1,0,0,,
1120,apartment,1430,3,1.5,1,1,1,0,0,w/d hookups,off-street parking
1745,apartment,951,2,2.0,1,1,0,1,0,w/d in unit,off-street parking
580,apartment,870,2,1.0,1,0,1,0,0,w/d hookups,off-street parking
1200,condo,750,1,1.0,0,0,1,0,0,w/d in unit,attached garage
