ticker,exchange,assetType,priceCurrency,startDate,endDate
JGPBX,NMFQS,Mutual Fund,USD,2005-03-01,2015-11-20
JGPCX,NMFQS,Mutual Fund,USD,2005-03-01,2015-11-20
JGPIX,NMFQS,Mutual Fund,USD,2005-03-01,2015-11-20
JGPK,PINK,Stock,USD,2016-01-04,2016-03-04
JGPRX,NMFQS,Mutual Fund,USD,2011-08-31,2015-11-20
JGPSX,NMFQS,Mutual Fund,USD,2012-03-01,2015-08-04
JGQIX,NMFQS,Mutual Fund,USD,2020-04-15,2020-10-02
JGQSX,NMFQS,Mutual Fund,USD,2020-04-15,2020-10-02
JGQYX,NMFQS,Mutual Fund,USD,2020-04-15,2020-10-02
JGRCX,NMFQS,Mutual Fund,USD,2002-10-01,2020-10-02
JGREX,NMFQS,Mutual Fund,USD,2017-07-31,2020-10-02
JGRJX,NMFQS,Mutual Fund,USD,2017-07-31,2020-10-02
JGRMX,NMFQS,Mutual Fund,USD,2011-11-30,2015-11-20
JGROX,NMFQS,Mutual Fund,USD,2010-01-04,2017-04-28
JGRQX,NMFQS,Mutual Fund,USD,2017-07-31,2020-10-02
JGRRX,NMFQS,Mutual Fund,USD,2020-02-03,2020-10-02
JGRSX,NMFQS,Mutual Fund,USD,2011-08-31,2020-10-02
JGRTX,NMFQS,Mutual Fund,USD,1999-11-12,2020-10-02
JGRUX,NMFQS,Mutual Fund,USD,2017-07-31,2020-10-02
JGRWX,NMFQS,Mutual Fund,USD,1992-12-31,2018-05-04
JGSHF,PINK,Stock,USD,2007-08-13,2020-10-02
JGSMX,NMFQS,Mutual Fund,USD,2010-11-30,2020-10-02
JGSMY,PINK,Stock,USD,2014-03-04,2020-10-02
JGSPX,NMFQS,Mutual Fund,USD,,
JGSRX,NMFQS,Mutual Fund,USD,2012-03-01,2020-10-02
JGSVX,NMFQS,Mutual Fund,USD,2017-01-03,2020-10-02
JGSZX,NMFQS,Mutual Fund,USD,,
JGTHX,NMFQS,Mutual Fund,USD,2017-01-03,2020-10-02
JGTPX,NMFQS,Mutual Fund,USD,,
JGTTX,NMFQS,Mutual Fund,USD,2017-06-02,2020-10-02
JGTUX,NMFQS,Mutual Fund,USD,2017-06-02,2020-10-02
JGTZX,NMFQS,Mutual Fund,USD,,
JGV,NYSE,ETF,USD,2006-07-25,2016-10-18
JGVAX,NMFQS,Mutual Fund,USD,2001-06-29,2020-10-02
JGVRX,NMFQS,Mutual Fund,USD,2009-01-08,2020-10-02
JGVVX,NMFQS,Mutual Fund,USD,2014-01-02,2020-10-02
JGVXX,NMFQS,Mutual Fund,USD,,
JGW,NYSE,Stock,USD,2013-11-08,2016-06-17
JGWE,OTCMKTS,Stock,USD,2013-11-08,2017-12-12
JGWEQ,PINK,Stock,USD,2013-11-08,2018-01-25
JGYAX,NMFQS,Mutual Fund,USD,2007-02-28,2020-10-02
JGYBX,NMFQS,Mutual Fund,USD,2007-03-02,2020-10-02
JGYCX,NMFQS,Mutual Fund,USD,2007-02-28,2020-10-02
JGYIX,NMFQS,Mutual Fund,USD,2007-02-28,2020-10-02
JH,,Stock,USD,,
JHA,NYSE,Stock,USD,2015-11-13,2018-11-26
JHAA,NYSE,Stock,USD,2018-12-19,2020-10-02
JHAAX,NMFQS,Mutual Fund,USD,2011-12-20,2020-10-02
JHACX,NMFQS,Mutual Fund,USD,2012-08-01,2020-10-02
JHAIX,NMFQS,Mutual Fund,USD,2011-12-21,2020-10-02
JHAKX,NMFQS,Mutual Fund,USD,,
JHALX,NMFQS,Mutual Fund,USD,,
JHAMX,NMFQS,Mutual Fund,USD,,
JHARX,NMFQS,Mutual Fund,USD,2012-03-01,2020-10-02
JHASX,NMFQS,Mutual Fund,USD,2012-03-01,2020-10-02
JHB,NYSE,ETF,USD,2016-08-24,2020-10-02
JHBBX,NMFQS,Mutual Fund,USD,1993-11-22,2020-10-02
JHBCDX,NMFQS,Mutual Fund,USD,,
JHBCX,NMFQS,Mutual Fund,USD,,
JHBDX,NMFQS,Mutual Fund,USD,2020-09-14,2020-10-02
JHBIX,NMFQS,Mutual Fund,USD,2001-08-31,2020-10-02
JHBPX,NMFQS,Mutual Fund,USD,2017-02-01,2020-10-02
JHBSX,NMFQS,Mutual Fund,USD,2011-08-31,2020-10-02
JHBTX,NMFQS,Mutual Fund,USD,2010-12-28,2020-10-02
JHCBX,NMFQS,Mutual Fund,USD,1998-09-30,2020-10-02
JHCCX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JHCDX,NMFQS,Mutual Fund,USD,,
JHCHX,NMFQS,Mutual Fund,USD,2016-01-04,2016-10-28
JHCIX,NMFQS,Mutual Fund,USD,2017-02-01,2020-10-02
JHCPX,NMFQS,Mutual Fund,USD,2005-10-14,2020-10-02
JHCS,NYSE ARCA,ETF,USD,2019-03-13,2020-10-02
JHD,NYSE,ETF,USD,2016-05-11,2019-11-22
JHDCX,NMFQS,Mutual Fund,USD,2016-01-04,2019-12-30
JHDG,NYSE ARCA,ETF,USD,2015-04-09,2019-03-14
JHDOX,NMFQS,Mutual Fund,USD,2016-01-04,2019-12-30
JHEIX,NMFQS,Mutual Fund,USD,2005-10-18,2020-10-02
JHEM,NYSE ARCA,ETF,USD,2018-09-28,2020-10-02
JHEMX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JHEQX,NMFQS,Mutual Fund,USD,2014-05-30,2020-10-02
JHERX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JHF,NYSE,Stock,USD,,
JHFIX,NMFQS,Mutual Fund,USD,1986-08-01,2020-10-02
JHG,NYSE,Stock,USD,2000-06-26,2020-10-02
JHGCX,NMFQS,Mutual Fund,USD,2016-01-04,2017-08-11
JHGDX,NMFQS,Mutual Fund,USD,,
JHGEX,NMFQS,Mutual Fund,USD,2014-01-02,2020-10-02
JHGIX,NMFQS,Mutual Fund,USD,1994-09-30,2020-10-02
JHGNX,NMFQS,Mutual Fund,USD,2016-01-04,2017-08-11
JHGPX,NMFQS,Mutual Fund,USD,2017-02-01,2020-10-02
JHGRX,NMFQS,Mutual Fund,USD,2016-01-04,2017-08-11
JHGSX,NMFQS,Mutual Fund,USD,2016-01-04,2017-08-11
JHHBX,NMFQS,Mutual Fund,USD,1993-06-30,2020-10-02
JHHDX,NMFQS,Mutual Fund,USD,,
JHHLX,NMFQS,Mutual Fund,USD,,
JHI,NYSE,ETF,USD,1985-07-01,2020-10-02
JHIGX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JHIKX,NMFQS,Mutual Fund,USD,2017-04-10,2020-10-02
JHISX,NMFQS,Mutual Fund,USD,,
JHIUF,OTCGREY,Stock,USD,2007-10-01,2020-10-02
JHJAX,NMFQS,Mutual Fund,USD,2016-06-08,2020-10-02
JHJCX,NMFQS,Mutual Fund,USD,2016-06-08,2020-10-02
